@relation AIDS

@attribute Vehicle_id string
@attribute Name_vehicle string
@attribute Acceleration_vehicle numeric
@attribute Speed_vehicle numeric
@attribute Latitude_vehicle numeric
@attribute Longitude_vehicle numeric
@attribute Timestamp_vehicle  DATE "yyyy-MM-dd HH:mm:ss" 
@attribute Rsu_id string
@attribute class {Anomaly,Normal}

@data
1036fe37e3c69dd8794925bbaa759fe2,c23ca6d8e93c44489bdac5dce50e4985,0.0,0.0,520.05,1.45,"2020-03-25 19:35:13",68c109c942d651a303cae6d5d4ccddbe,Anomaly
4f037d6cb4492a30ae3a616d4b2e4559,2c6d75a3a4ff57e7bbf7f8d506ecb47a,0.0,0.0,36.0,529.95,"2020-03-25 19:35:14",68c109c942d651a303cae6d5d4ccddbe,Anomaly
fdcfeb943e5811fd4ee71022114107d8,c23ca6d8e93c44489bdac5dce50e4985,0.0,5.7,520.05,31.45,"2020-03-25 19:35:14",68c109c942d651a303cae6d5d4ccddbe,Normal
825732c6677ce1543b06482ee148f245,2c6d75a3a4ff57e7bbf7f8d506ecb47a,0.0,3.8,36.0,529.95,"2020-03-25 19:35:15",68c109c942d651a303cae6d5d4ccddbe,Normal
1f1a0a3d35b23ef4131d0f8408855cf9,c23ca6d8e93c44489bdac5dce50e4985,3.0,8.7,520.05,35.8,"2020-03-25 19:35:15",68c109c942d651a303cae6d5d4ccddbe,Normal
86395f228c4c3d615498cafd5ccca843,2c6d75a3a4ff57e7bbf7f8d506ecb47a,2.0,5.8,38.9,529.95,"2020-03-25 19:35:16",68c109c942d651a303cae6d5d4ccddbe,Normal
656a03dbad2a21d20dd30bab71f7857d,c23ca6d8e93c44489bdac5dce50e4985,3.0,11.7,520.05,43.15,"2020-03-25 19:35:16",68c109c942d651a303cae6d5d4ccddbe,Normal
ae84f84bcbaed775ab536c67abf73fcb,c23ca6d8e93c44489bdac5dce50e4985,3.0,14.7,520.05,53.5,"2020-03-25 19:35:17",68c109c942d651a303cae6d5d4ccddbe,Normal
67fea37254e1b81daf2493b8c76bc67d,2c6d75a3a4ff57e7bbf7f8d506ecb47a,2.0,7.8,43.8,529.95,"2020-03-25 19:35:17",68c109c942d651a303cae6d5d4ccddbe,Normal
2d985a20babc9aa5434207355bbc3534,cb8c59ecc8b91c8e676aff1c86416cbb,0.0,0.0,520.05,36.0,"2020-03-25 19:35:17",c91f4ce0fcbb0a20cbdb66a7842495de,Anomaly
1865fe3ce4ab95c3df35b22987b874cd,c23ca6d8e93c44489bdac5dce50e4985,3.0,17.7,520.05,66.85,"2020-03-25 19:35:18",68c109c942d651a303cae6d5d4ccddbe,Normal
33eb8b8e9255af00e751fd542d53bfc0,e2c99b3b84c252510b60dccc3dccb2a4,0.0,0.0,1014.84,520.05,"2020-03-25 19:35:18",c91f4ce0fcbb0a20cbdb66a7842495de,Anomaly
bf664635928f01ac6570a451c2bae280,cb8c59ecc8b91c8e676aff1c86416cbb,0.0,3.8,520.05,36.0,"2020-03-25 19:35:18",c91f4ce0fcbb0a20cbdb66a7842495de,Normal
2b45a4be124c4a392875954741a5e560,2c6d75a3a4ff57e7bbf7f8d506ecb47a,2.0,9.8,50.7,529.95,"2020-03-25 19:35:18",68c109c942d651a303cae6d5d4ccddbe,Normal
a7560987b2f3f98563db1ac188e7f186,2c6d75a3a4ff57e7bbf7f8d506ecb47a,2.0,11.8,59.6,529.95,"2020-03-25 19:35:19",68c109c942d651a303cae6d5d4ccddbe,Normal
67fe217e02408279bea263ccaad85aac,bed2b53cc2c4f28e59c9278e5c370ba0,0.0,0.0,529.95,1014.0,"2020-03-25 19:35:19",c91f4ce0fcbb0a20cbdb66a7842495de,Anomaly
155e92de8b7f279c88c52155a962cd4c,e2c99b3b84c252510b60dccc3dccb2a4,0.0,2.4,1014.84,520.05,"2020-03-25 19:35:19",c91f4ce0fcbb0a20cbdb66a7842495de,Normal
21a703cb4937fae18704ce831b1aad4f,c23ca6d8e93c44489bdac5dce50e4985,3.0,20.7,520.05,83.2,"2020-03-25 19:35:19",68c109c942d651a303cae6d5d4ccddbe,Normal
31024297c4c15255b40a6f30f1dbfb76,cb8c59ecc8b91c8e676aff1c86416cbb,2.0,5.8,520.05,38.9,"2020-03-25 19:35:19",c91f4ce0fcbb0a20cbdb66a7842495de,Normal
85bb7a8f6eef00e91a78c24d5b7527a0,bed2b53cc2c4f28e59c9278e5c370ba0,0.0,3.8,529.95,1014.0,"2020-03-25 19:35:20",c91f4ce0fcbb0a20cbdb66a7842495de,Normal
a352e9fa0bfed7c02d4d50b3a3f4caa3,e2c99b3b84c252510b60dccc3dccb2a4,2.0,4.4,1013.34,520.05,"2020-03-25 19:35:20",c91f4ce0fcbb0a20cbdb66a7842495de,Normal
9b653dec81ff45e1e319e664bfd106d6,c23ca6d8e93c44489bdac5dce50e4985,3.0,23.7,520.05,102.55,"2020-03-25 19:35:20",68c109c942d651a303cae6d5d4ccddbe,Normal
